work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,SE,FT,Data Modeler,162225,USD,162225,US,0,US,M
2024,SE,FT,Data Modeler,139050,USD,139050,US,0,US,M
2024,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M
2024,SE,FT,Data Engineer,105301,USD,105301,US,100,US,M
2024,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
2024,SE,FT,Data Scientist,139000,USD,139000,US,0,US,M
2024,SE,FT,Data Analyst,50000,GBP,62500,GB,0,GB,M
2024,SE,FT,Data Analyst,44000,GBP,55000,GB,0,GB,M
2024,SE,FT,Machine Learning Engineer,252000,USD,252000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,168000,USD,168000,US,0,US,M
2024,MI,FT,Data Engineer,85000,USD,85000,US,0,US,M
2024,MI,FT,Data Engineer,74880,USD,74880,US,0,US,M
2024,SE,FT,Machine Learning Engineer,260000,USD,260000,US,0,US,M
2024,SE,FT,Machine Learning Engineer,160000,USD,160000,US,0,US,M
2024,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M
2024,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
2024,MI,FT,Research Engineer,234000,USD,234000,US,0,US,M
2024,MI,FT,Research Engineer,176000,USD,176000,US,0,US,M
2024,MI,FT,Data Engineer,125000,USD,125000,US,100,US,M
2024,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M
2024,SE,FT,ML Engineer,155000,USD,155000,US,0,US,M
2024,SE,FT,ML Engineer,100000,USD,100000,US,0,US,M
2024,SE,FT,Data Analyst,170000,USD,170000,CA,100,CA,M
2024,SE,FT,Data Analyst,130000,USD,130000,CA,100,CA,M
2024,MI,FT,Data Engineer,184000,USD,184000,US,0,US,M
2024,MI,FT,Data Engineer,123000,USD,123000,US,0,US,M
2024,SE,FT,Data Modeler,140000,USD,140000,US,100,US,M
2024,SE,FT,Data Modeler,130000,USD,130000,US,100,US,M
2024,MI,FT,Data Scientist,159550,USD,159550,US,0,US,M
2024,MI,FT,Data Scientist,113000,USD,113000,US,0,US,M
2024,SE,FT,Data Scientist,222300,USD,222300,FR,0,FR,M
2024,SE,FT,Data Scientist,119700,USD,119700,FR,0,FR,M
2024,SE,FT,ML Engineer,120000,USD,120000,US,0,US,M
2024,SE,FT,ML Engineer,75000,USD,75000,US,0,US,M
2024,SE,FT,AI Scientist,166000,USD,166000,US,0,US,M
2024,SE,FT,AI Scientist,110781,USD,110781,US,0,US,M
2024,MI,FT,Data Scientist,121500,USD,121500,US,100,US,M
2024,MI,FT,Data Scientist,88200,USD,88200,US,100,US,M
2024,EN,PT,Data Science,63162,USD,63162,US,0,US,M
2024,EN,PT,Data Science,37154,USD,37154,US,0,US,M
2024,SE,FT,Data Scientist,195800,USD,195800,US,0,US,M
2024,SE,FT,Data Scientist,161900,USD,161900,US,0,US,M
2024,SE,FT,Data Analyst,142166,USD,142166,US,0,US,M
2024,SE,FT,Data Analyst,88854,USD,88854,US,0,US,M
2024,EN,FT,Business Intelligence Developer,137000,USD,137000,US,0,US,M
2024,EN,FT,Business Intelligence Developer,60400,USD,60400,US,0,US,M
2024,SE,FT,Data Architect,178090,USD,178090,US,100,US,M
2024,SE,FT,Data Architect,92118,USD,92118,US,100,US,M
2024,EX,FT,Head of Data,257500,USD,257500,US,0,US,M
2024,EX,FT,Head of Data,190000,USD,190000,US,0,US,M
2024,MI,FT,AI Engineer,176000,USD,176000,US,0,US,M
2024,MI,FT,AI Engineer,106500,USD,106500,US,0,US,M
2024,MI,FT,Business Intelligence,125500,USD,125500,US,0,US,M
2024,MI,FT,Business Intelligence,78000,USD,78000,US,0,US,M
2024,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M
2024,SE,FT,Data Engineer,96000,USD,96000,US,100,US,M
2024,EN,FT,Business Intelligence Analyst,192500,USD,192500,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,140000,USD,140000,US,0,US,M
2024,SE,FT,Data Engineer,220000,USD,220000,US,0,US,M
2024,SE,FT,Data Engineer,96600,USD,96600,US,0,US,M
2024,SE,FT,Data Engineer,195500,USD,195500,US,0,US,M
2024,SE,FT,Data Engineer,117300,USD,117300,US,0,US,M
2024,SE,FT,Data Engineer,156000,USD,156000,US,0,US,M
2024,SE,FT,Data Engineer,124000,USD,124000,US,0,US,M
2024,SE,FT,Data Architect,178090,USD,178090,US,0,US,M
2024,SE,FT,Data Architect,81978,USD,81978,US,0,US,M
2024,SE,FT,Data Engineer,142500,USD,142500,US,0,US,M
2024,SE,FT,Data Engineer,90000,USD,90000,US,0,US,M
2024,SE,FT,Data Engineer,171210,USD,171210,CA,0,CA,M
2024,SE,FT,Data Engineer,92190,USD,92190,CA,0,CA,M
2024,SE,FT,Data Architect,59421,GBP,74276,GB,0,GB,M
2024,SE,FT,Data Architect,48350,GBP,60437,GB,0,GB,M
2024,MI,FT,Machine Learning Developer,125000,USD,125000,CA,0,CA,M
2024,MI,FT,Machine Learning Developer,90000,USD,90000,CA,0,CA,M
2024,MI,FT,Data Scientist,176000,USD,176000,US,100,US,M
2024,MI,FT,Data Scientist,72700,USD,72700,US,100,US,M
2024,MI,FT,Data Engineer,132600,USD,132600,US,0,US,M
2024,MI,FT,Data Engineer,80845,USD,80845,US,0,US,M
2024,EX,FT,Data Engineer,250000,USD,250000,US,0,US,M
2024,EX,FT,Data Engineer,150000,USD,150000,US,0,US,M
2024,MI,FT,Data Management Specialist,79000,USD,79000,US,0,US,M
2024,MI,FT,Data Management Specialist,72000,USD,72000,US,0,US,M
2024,SE,FT,Data Scientist,230800,USD,230800,US,100,US,M
2024,SE,FT,Data Scientist,96200,USD,96200,US,100,US,M
2024,EN,FT,Data Scientist,187415,USD,187415,US,0,US,M
2024,EN,FT,Data Scientist,114080,USD,114080,US,0,US,M
2024,EN,FT,Business Intelligence Lead,187415,USD,187415,US,0,US,M
2024,EN,FT,Business Intelligence Lead,114080,USD,114080,US,0,US,M
2024,SE,FT,Data Engineer,277000,USD,277000,US,0,US,M
2024,SE,FT,Data Engineer,173000,USD,173000,US,0,US,M
2024,MI,FT,Data Engineer,175000,USD,175000,US,0,US,M
